   10    15 

Allocation    A   B   C   D   E   F   G   H   I   J
P_00          4   0   1   0   1   1   4   2   4   0
P_01          4   0   2   3   4   2   0   4   4   3
P_02          3   1   2   4   2   4   1   4   0   3
P_03          1   0   2   1   0   0   1   1   2   4
P_04          2   4   1   3   4   0   0   0   4   0
P_05          0   1   0   2   2   3   2   1   3   4
P_06          1   1   1   1   4   2   1   2   4   0
P_07          4   1   1   1   1   4   4   2   0   0
P_08          2   1   4   1   2   4   1   1   1   1
P_09          0   4   2   1   1   1   3   1   0   4
P_10          4   4   4   1   0   0   1   2   1   0
P_11          2   2   2   3   3   3   0   2   0   0
P_12          2   0   3   2   0   2   1   3   2   4
P_13          2   2   3   0   0   4   4   0   1   3
P_14          1   2   0   3   1   3   4   4   0   2

Max           A   B   C   D   E   F   G   H   I   J
P_00          6   0   3   4   1   3   6   5   8   2
P_01          4   0   6   7   5   4   2   5   7   3
P_02          7   3   3   4   2   5   2   7   4   6
P_03          4   4   5   1   2   3   3   5   6   5
P_04          6   6   2   3   7   3   3   4   7   1
P_05          2   1   0   4   6   4   2   3   6   8
P_06          2   2   4   2   8   4   5   5   4   0
P_07          8   3   1   3   5   8   6   5   4   3
P_08          3   5   4   4   6   4   5   2   4   5
P_09          1   7   6   5   1   4   6   4   1   6
P_10          5   6   4   5   4   2   1   2   1   4
P_11          2   4   6   7   4   6   3   4   4   4
P_12          3   4   7   4   4   2   3   6   3   4
P_13          5   4   5   0   1   8   7   1   1   5
P_14          5   5   2   6   5   3   5   4   3   5

Available     A   B   C   D   E   F   G   H   I   J
              1   1   5   3   1   3   1   5   3   5
