   10    15 

Allocation    A   B   C   D   E   F   G   H   I   J
P_00          2   0   4   2   2   1   0   2   0   2
P_01          0   0   2   4   4   3   1   3   2   4
P_02          1   3   4   4   0   4   1   1   1   1
P_03          2   2   3   3   3   4   3   1   4   3
P_04          4   1   1   0   4   1   2   0   0   4
P_05          2   0   0   0   1   4   2   2   3   0
P_06          0   2   2   4   2   2   1   1   3   3
P_07          0   3   2   2   0   4   3   2   0   3
P_08          4   3   2   1   0   4   3   1   0   4
P_09          3   4   2   3   4   4   4   4   2   0
P_10          2   0   0   4   0   0   3   3   2   2
P_11          2   2   0   4   3   1   1   0   1   2
P_12          4   3   2   4   2   2   1   3   2   4
P_13          0   0   3   4   0   1   4   4   1   3
P_14          4   0   4   2   4   1   4   1   0   3

Max           A   B   C   D   E   F   G   H   I   J
P_00          3   4   4   6   6   3   3   2   0   3
P_01          2   2   3   4   7   5   2   7   5   4
P_02          5   3   7   8   4   4   4   5   4   5
P_03          5   3   4   5   5   6   3   1   4   6
P_04          6   4   3   1   8   2   2   0   2   4
P_05          3   0   4   3   4   8   2   2   4   4
P_06          1   5   6   4   5   6   3   3   4   4
P_07          0   5   4   3   1   4   5   6   0   6
P_08          4   4   4   4   0   4   7   1   0   6
P_09          4   7   2   5   8   8   4   5   4   4
P_10          2   3   4   4   0   0   4   7   6   2
P_11          5   4   3   5   7   4   2   4   4   5
P_12          8   3   4   5   6   2   3   6   2   5
P_13          0   0   3   8   3   3   4   6   2   5
P_14          6   0   8   3   6   1   8   3   1   5

Available     A   B   C   D   E   F   G   H   I   J
              3   5   2   3   3   5   4   2   2   4
