   10    15 

Allocation    A   B   C   D   E   F   G   H   I   J
P_00          0   4   3   1   3   4   2   4   1   1
P_01          0   4   0   3   2   4   2   2   1   4
P_02          2   2   1   4   3   3   3   3   3   2
P_03          0   2   0   0   1   0   2   2   4   0
P_04          1   0   1   3   0   1   4   2   3   2
P_05          0   0   3   3   0   1   2   3   3   1
P_06          0   3   1   4   1   2   2   2   0   4
P_07          4   1   2   4   3   2   1   4   0   1
P_08          1   0   2   0   0   1   4   0   1   3
P_09          3   0   0   3   4   4   4   3   0   4
P_10          3   3   4   2   0   1   3   4   4   0
P_11          3   2   0   3   4   1   0   4   3   1
P_12          1   1   3   0   3   1   2   2   4   3
P_13          4   4   1   4   2   4   3   1   0   4
P_14          3   3   0   0   0   3   0   1   2   1

Max           A   B   C   D   E   F   G   H   I   J
P_00          3   4   5   2   7   6   4   7   5   2
P_01          4   5   4   6   3   5   5   2   3   4
P_02          3   3   3   5   7   5   3   7   6   3
P_03          0   3   2   0   2   0   5   5   5   1
P_04          4   1   2   4   0   4   5   6   6   5
P_05          4   1   3   3   4   3   5   6   6   1
P_06          1   6   4   4   3   3   6   4   0   6
P_07          6   3   2   6   4   4   2   7   2   2
P_08          5   2   3   4   0   5   7   4   1   5
P_09          4   3   3   4   4   7   5   3   0   5
P_10          4   5   4   6   3   2   4   7   7   1
P_11          4   3   4   6   7   5   2   6   6   2
P_12          4   1   6   1   4   3   2   4   7   3
P_13          7   7   3   6   4   5   7   4   4   8
P_14          3   4   3   0   4   3   3   4   4   2

Available     A   B   C   D   E   F   G   H   I   J
              5   5   4   5   3   5   2   5   4   4
